"","tapping","virtualdj","djpro","serato","tempo_est","band-1:peak-1","band-1:peak-2","band-1:peak-3","band-1:peak-4","band-1:peak-5","band-1:peak-6","band-1:peak-7","band-1:peak-8","band-1:peak-9","band-1:peak-10","band-1:peak-11","band-1:peak-12","band-2:peak-1","band-2:peak-2","band-2:peak-3","band-2:peak-4","band-2:peak-5","band-2:peak-6","band-2:peak-7","band-2:peak-8","band-2:peak-9","band-2:peak-10","band-2:peak-11","band-2:peak-12","band-3:peak-1","band-3:peak-2","band-3:peak-3","band-3:peak-4","band-3:peak-5","band-3:peak-6","band-3:peak-7","band-3:peak-8","band-3:peak-9","band-3:peak-10","band-3:peak-11","band-3:peak-12","band-4:peak-1","band-4:peak-2","band-4:peak-3","band-4:peak-4","band-4:peak-5","band-4:peak-6","band-4:peak-7","band-4:peak-8","band-4:peak-9","band-4:peak-10","band-4:peak-11","band-4:peak-12","band-5:peak-1","band-5:peak-2","band-5:peak-3","band-5:peak-4","band-5:peak-5","band-5:peak-6","band-5:peak-7","band-5:peak-8","band-5:peak-9","band-5:peak-10","band-5:peak-11","band-5:peak-12","band-6:peak-1","band-6:peak-2","band-6:peak-3","band-6:peak-4","band-6:peak-5","band-6:peak-6","band-6:peak-7","band-6:peak-8","band-6:peak-9","band-6:peak-10","band-6:peak-11","band-6:peak-12","band-7:peak-1","band-7:peak-2","band-7:peak-3","band-7:peak-4","band-7:peak-5","band-7:peak-6","band-7:peak-7","band-7:peak-8","band-7:peak-9","band-7:peak-10","band-7:peak-11","band-7:peak-12","band-8:peak-1","band-8:peak-2","band-8:peak-3","band-8:peak-4","band-8:peak-5","band-8:peak-6","band-8:peak-7","band-8:peak-8","band-8:peak-9","band-8:peak-10","band-8:peak-11","band-8:peak-12"
"train-01",129.5,129.57,129,129.23,129.19921875,32.0991847826087,129.19921875,42.7104855371901,64.599609375,51.6796875,86.1328125,36.6522606382979,NA,NA,NA,NA,NA,32.0991847826087,129.19921875,42.7104855371901,64.599609375,51.6796875,57.421875,36.6522606382979,84.7207991803279,NA,NA,NA,NA,129.19921875,63.8020833333333,32.0991847826087,42.7104855371901,86.1328125,74.898097826087,51.6796875,34.453125,36.6522606382979,46.9815340909091,NA,NA,129.19921875,143.5546875,32.0991847826087,63.8020833333333,41.34375,42.3603995901639,54.3996710526316,36.6522606382979,NA,NA,NA,NA,132.512019230769,123.046875,172.265625,32.2998046875,90.6661184210526,63.8020833333333,36.3941461267606,43.4283088235294,55.5695564516129,77.1338619402985,51.6796875,41.6771673387097,129.19921875,64.599609375,32.0991847826087,42.7104855371901,86.1328125,51.6796875,36.9140625,NA,NA,NA,NA,NA,129.19921875,32.0991847826087,64.599609375,42.7104855371901,86.1328125,51.6796875,36.6522606382979,NA,NA,NA,NA,NA,129.19921875,32.0991847826087,64.599609375,42.7104855371901,86.1328125,51.6796875,36.6522606382979,NA,NA,NA,NA,NA
"train-02",83.5,82,82,83.27,178.205818965517,166.708669354839,112.34714673913,129.19921875,83.3543346774194,41.34375,67.1164772727273,55.5695564516129,43.796345338983,60.7996323529412,32.5029481132075,31.9010416666667,31.1323418674699,184.5703125,114.84375,84.7207991803279,41.34375,33.9997944078947,36.3941461267606,32.2998046875,31.1323418674699,55.5695564516129,65.4173259493671,46.142578125,NA,105.46875,87.5926906779661,68.90625,71.77734375,46.142578125,54.9783909574468,48.7544221698113,41.6771673387097,30.2220394736842,32.9169984076433,36.1396416083916,NA,109.956781914894,84.7207991803279,67.1164772727273,41.6771673387097,46.142578125,37.4490489130435,NA,NA,NA,NA,NA,NA,83.3543346774194,166.708669354839,67.9995888157895,109.956781914894,56.7908653846154,42.016006097561,37.7223996350365,47.8515625,30.2220394736842,33.7775735294118,NA,NA,172.265625,112.34714673913,84.7207991803279,67.9995888157895,56.1735733695652,42.3603995901639,48.7544221698113,37.179631294964,32.2998046875,31.3210227272727,NA,NA,78.3025568181818,36.9140625,31.3210227272727,32.0991847826087,NA,NA,NA,NA,NA,NA,NA,NA,191.40625,79.5072115384615,114.84375,105.46875,65.4173259493671,56.1735733695652,51.6796875,30.5796967455621,42.3603995901639,35.888671875,34.6843540268456,NA
"train-03",153,102.07,102,76.54,51.1680074257426,77.1338619402985,37.9997702205882,103.359375,34.2249586092715,51.1680074257426,61.5234375,44.5514547413793,143.5546875,NA,NA,NA,NA,101.332720588235,33.9997944078947,50.6663602941176,77.1338619402985,37.9997702205882,61.5234375,44.1706730769231,30.5796967455621,156.605113636364,NA,NA,NA,51.1680074257426,101.332720588235,33.7775735294118,151.999080882353,37.9997702205882,60.7996323529412,75.9995404411765,30.5796967455621,43.4283088235294,NA,NA,NA,50.6663602941176,77.1338619402985,43.4283088235294,151.999080882353,101.332720588235,60.7996323529412,38.28125,33.9997944078947,30.5796967455621,NA,NA,NA,38.28125,156.605113636364,43.796345338983,51.1680074257426,34.2249586092715,75.9995404411765,101.332720588235,60.7996323529412,30.5796967455621,NA,NA,NA,50.6663602941176,60.7996323529412,75.9995404411765,156.605113636364,38.28125,43.796345338983,30.3998161764706,101.332720588235,33.9997944078947,NA,NA,NA,51.1680074257426,38.28125,151.999080882353,103.359375,60.7996323529412,43.4283088235294,75.9995404411765,30.3998161764706,33.9997944078947,NA,NA,NA,101.332720588235,33.9997944078947,51.1680074257426,151.999080882353,75.9995404411765,60.7996323529412,38.28125,43.4283088235294,30.3998161764706,NA,NA,NA
"train-04",42,82.3,127,93.23,126.048018292683,42.3603995901639,38.5669309701493,45.7342367256637,78.3025568181818,66.2560096153846,NA,NA,NA,NA,NA,NA,NA,42.016006097561,46.558277027027,51.6796875,38.5669309701493,35.888671875,32.7086629746835,31.5120045731707,60.7996323529412,66.2560096153846,83.3543346774194,74.898097826087,NA,42.3603995901639,129.19921875,143.5546875,39.7536057692308,38.8569078947368,45.3330592105263,31.3210227272727,30.2220394736842,30.76171875,103.359375,34.6843540268456,32.9169984076433,126.048018292683,75.9995404411765,63.0240091463415,47.4125573394495,42.016006097561,30.76171875,33.3417338709677,NA,NA,NA,NA,NA,126.048018292683,75.9995404411765,95.703125,87.5926906779661,65.4173259493671,42.3603995901639,46.558277027027,30.9459206586826,33.7775735294118,NA,NA,NA,126.048018292683,63.8020833333333,46.142578125,43.06640625,37.9997702205882,30.3998161764706,33.3417338709677,NA,NA,NA,NA,NA,126.048018292683,41.6771673387097,63.8020833333333,31.5120045731707,184.5703125,46.142578125,74.898097826087,36.9140625,82.03125,NA,NA,NA,126.048018292683,41.6771673387097,31.5120045731707,63.0240091463415,184.5703125,46.142578125,35.15625,74.898097826087,83.3543346774194,NA,NA,NA
"train-05",68.5,81.87,103,102.19,206.71875,224.694293478261,67.1164772727273,51.6796875,54.9783909574468,33.9997944078947,43.796345338983,42.016006097561,NA,NA,NA,NA,NA,67.9995888157895,34.2249586092715,151.999080882353,135.999177631579,123.046875,45.7342367256637,44.5514547413793,99.3840144230769,30.2220394736842,39.7536057692308,NA,NA,67.1164772727273,161.4990234375,198.768028846154,34.2249586092715,117.453835227273,95.703125,101.332720588235,86.1328125,39.1512784090909,39.7536057692308,42.3603995901639,43.4283088235294,198.768028846154,103.359375,66.2560096153846,34.2249586092715,47.4125573394495,50.6663602941176,49.6920072115385,38.28125,42.016006097561,NA,NA,NA,206.71875,103.359375,68.90625,41.6771673387097,34.2249586092715,35.3970462328767,31.9010416666667,NA,NA,NA,NA,NA,215.33203125,41.34375,34.2249586092715,105.46875,68.90625,NA,NA,NA,NA,NA,NA,NA,206.71875,107.666015625,68.90625,50.1744538834951,34.2249586092715,42.016006097561,44.1706730769231,NA,NA,NA,NA,NA,206.71875,68.90625,105.46875,50.6663602941176,33.9997944078947,41.6771673387097,NA,NA,NA,NA,NA,NA
"train-06",82,82.14,82,82.09,166.708669354839,31.9010416666667,40.6926673228346,41.34375,37.7223996350365,44.9388586956522,47.8515625,NA,NA,NA,NA,NA,NA,39.7536057692308,43.06640625,43.796345338983,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.708669354839,83.3543346774194,42.016006097561,68.90625,55.5695564516129,34.453125,35.6411637931034,36.6522606382979,NA,NA,NA,NA,40.6926673228346,32.9169984076433,35.15625,99.3840144230769,80.74951171875,55.5695564516129,62.2646837349398,66.2560096153846,NA,NA,NA,NA,41.015625,32.7086629746835,33.5582386363636,35.15625,52.734375,80.74951171875,67.1164772727273,NA,NA,NA,NA,NA,166.708669354839,78.3025568181818,82.03125,101.332720588235,41.015625,55.5695564516129,32.2998046875,33.7775735294118,34.6843540268456,NA,NA,NA,156.605113636364,79.5072115384615,41.6771673387097,33.5582386363636,31.5120045731707,52.2017045454545,NA,NA,NA,NA,NA,NA,161.4990234375,82.03125,41.34375,54.3996710526316,33.1280048076923,52.2017045454545,NA,NA,NA,NA,NA,NA
"train-07",56.5,113.17,113,85.35,56.7908653846154,172.265625,135.999177631579,103.359375,84.7207991803279,75.9995404411765,39.7536057692308,38.8569078947368,41.6771673387097,50.6663602941176,48.7544221698113,44.9388586956522,35.6411637931034,46.142578125,42.3603995901639,36.9140625,33.3417338709677,32.5029481132075,31.3210227272727,NA,NA,NA,NA,NA,NA,32.9169984076433,33.7775735294118,32.0991847826087,30.3998161764706,57.421875,55.5695564516129,60.0926598837209,63.0240091463415,75.9995404411765,67.9995888157895,71.77734375,79.5072115384615,56.1735733695652,58.7269176136364,48.7544221698113,31.1323418674699,32.5029481132075,33.3417338709677,34.6843540268456,36.3941461267606,36.9140625,37.9997702205882,NA,NA,58.0670646067416,105.46875,123.046875,37.4490489130435,34.6843540268456,35.888671875,NA,NA,NA,NA,NA,NA,56.7908653846154,93.9630681818182,36.9140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1735733695652,101.332720588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1735733695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"train-08",148,73.91,148,73.93,36.9140625,198.768028846154,151.999080882353,36.9140625,86.1328125,65.4173259493671,49.21875,99.3840144230769,45.7342367256637,73.828125,59.4019396551724,53.8330078125,42.3603995901639,198.768028846154,147.65625,84.7207991803279,99.3840144230769,65.4173259493671,59.4019396551724,36.9140625,117.453835227273,49.21875,73.828125,45.7342367256637,53.8330078125,198.768028846154,99.3840144230769,147.65625,84.7207991803279,74.898097826087,120.185319767442,114.84375,132.512019230769,66.2560096153846,59.4019396551724,45.3330592105263,42.3603995901639,36.9140625,147.65625,49.21875,73.828125,32.9169984076433,58.7269176136364,56.1735733695652,99.3840144230769,92.28515625,NA,NA,NA,147.65625,73.828125,36.9140625,191.40625,49.21875,99.3840144230769,120.185319767442,84.7207991803279,30.9459206586826,59.4019396551724,45.7342367256637,42.3603995901639,36.9140625,147.65625,49.21875,59.4019396551724,99.3840144230769,73.828125,42.3603995901639,32.9169984076433,198.768028846154,45.3330592105263,31.1323418674699,84.7207991803279,36.9140625,147.65625,49.21875,59.4019396551724,99.3840144230769,42.3603995901639,73.828125,32.9169984076433,198.768028846154,31.1323418674699,45.3330592105263,34.9187077702703,36.9140625,99.3840144230769,59.4019396551724,147.65625,73.828125,49.21875,42.3603995901639,32.9169984076433,198.768028846154,31.1323418674699,45.7342367256637,84.7207991803279
"train-09",129,85.2,128,126.14,126.048018292683,123.046875,63.8020833333333,82.03125,32.5029481132075,31.9010416666667,30.5796967455621,42.3603995901639,43.796345338983,49.21875,53.2780283505155,34.9187077702703,37.179631294964,129.19921875,64.599609375,84.7207991803279,42.016006097561,50.1744538834951,31.7053297546012,36.1396416083916,33.9997944078947,NA,NA,NA,NA,191.40625,166.708669354839,129.19921875,143.5546875,114.84375,87.5926906779661,79.5072115384615,51.6796875,63.8020833333333,49.6920072115385,46.9815340909091,41.34375,129.19921875,86.1328125,63.8020833333333,42.3603995901639,49.6920072115385,36.3941461267606,32.5029481132075,NA,NA,NA,NA,NA,129.19921875,84.7207991803279,64.599609375,50.6663602941176,42.3603995901639,36.3941461267606,32.0991847826087,NA,NA,NA,NA,NA,126.048018292683,63.0240091463415,83.3543346774194,50.1744538834951,42.016006097561,31.3210227272727,36.1396416083916,NA,NA,NA,NA,NA,126.048018292683,83.3543346774194,63.0240091463415,50.1744538834951,41.6771673387097,35.888671875,31.3210227272727,NA,NA,NA,NA,NA,126.048018292683,83.3543346774194,63.0240091463415,50.1744538834951,35.888671875,31.3210227272727,41.6771673387097,NA,NA,NA,NA,NA
"train-10",61,81.46,124,123.03,30.76171875,31.1323418674699,31.5120045731707,31.9010416666667,30.2220394736842,34.453125,34.9187077702703,35.6411637931034,36.1396416083916,184.5703125,147.65625,129.19921875,123.046875,30.3998161764706,30.76171875,63.0240091463415,54.9783909574468,53.8330078125,52.2017045454545,51.1680074257426,47.8515625,46.9815340909091,45.7342367256637,44.9388586956522,42.3603995901639,30.76171875,63.8020833333333,59.4019396551724,90.6661184210526,44.5514547413793,47.4125573394495,NA,NA,NA,NA,NA,NA,30.9459206586826,60.7996323529412,63.0240091463415,74.898097826087,86.1328125,103.359375,178.205818965517,46.9815340909091,40.374755859375,NA,NA,NA,30.76171875,62.2646837349398,37.7223996350365,40.374755859375,139.674831081081,47.8515625,43.4283088235294,NA,NA,NA,NA,NA,30.9459206586826,61.5234375,39.450143129771,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5796967455621,33.9997944078947,60.7996323529412,123.046875,38.5669309701493,49.6920072115385,77.1338619402985,40.6926673228346,46.558277027027,NA,NA,NA,30.5796967455621,60.7996323529412,70.7940924657534,41.34375,123.046875,46.558277027027,36.6522606382979,NA,NA,NA,NA,NA
"train-11",140,186.56,140,70.04,35.15625,35.15625,69.8374155405405,31.1323418674699,93.9630681818182,40.374755859375,56.1735733695652,46.9815340909091,139.674831081081,44.1706730769231,NA,NA,NA,69.8374155405405,35.15625,46.9815340909091,139.674831081081,31.1323418674699,56.1735733695652,40.061773255814,93.9630681818182,32.9169984076433,NA,NA,NA,139.674831081081,34.6843540268456,90.6661184210526,30.5796967455621,41.34375,43.06640625,54.9783909574468,69.8374155405405,NA,NA,NA,NA,161.4990234375,95.703125,35.15625,68.90625,45.7342367256637,46.9815340909091,43.06640625,53.8330078125,NA,NA,NA,NA,135.999177631579,86.1328125,35.15625,46.558277027027,58.7269176136364,54.9783909574468,53.2780283505155,NA,NA,NA,NA,NA,135.999177631579,92.28515625,35.15625,46.558277027027,69.8374155405405,40.374755859375,42.3603995901639,30.76171875,NA,NA,NA,NA,35.15625,69.8374155405405,139.674831081081,93.9630681818182,31.1323418674699,40.061773255814,46.558277027027,56.1735733695652,NA,NA,NA,NA,69.8374155405405,35.15625,139.674831081081,46.558277027027,40.061773255814,93.9630681818182,55.5695564516129,31.1323418674699,NA,NA,NA,NA
"train-12",54,81.79,143,110.68,53.2780283505155,53.8330078125,166.708669354839,129.19921875,82.03125,89.1029094827586,114.84375,92.28515625,109.956781914894,99.3840144230769,95.703125,39.7536057692308,32.2998046875,50.6663602941176,53.2780283505155,84.7207991803279,90.6661184210526,55.5695564516129,99.3840144230769,48.7544221698113,103.359375,58.7269176136364,107.666015625,46.9815340909091,198.768028846154,132.512019230769,123.046875,112.34714673913,172.265625,36.9140625,42.3603995901639,79.5072115384615,77.1338619402985,86.1328125,34.6843540268456,68.90625,65.4173259493671,62.2646837349398,191.40625,67.1164772727273,74.898097826087,92.28515625,89.1029094827586,46.9815340909091,53.8330078125,83.3543346774194,117.453835227273,39.7536057692308,36.9140625,178.205818965517,120.185319767442,71.77734375,75.9995404411765,58.0670646067416,51.6796875,46.142578125,43.796345338983,39.450143129771,37.179631294964,31.9010416666667,35.15625,43.796345338983,35.3970462328767,30.5796967455621,33.9997944078947,31.9010416666667,32.7086629746835,NA,NA,NA,NA,NA,NA,58.0670646067416,41.015625,30.3998161764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.734375,55.5695564516129,43.4283088235294,44.9388586956522,41.6771673387097,68.90625,63.8020833333333,33.3417338709677,NA,NA,NA,NA
"train-13",180,90.06,90,90.11,44.9388586956522,44.9388586956522,191.40625,36.3941461267606,58.7269176136364,90.6661184210526,NA,NA,NA,NA,NA,NA,NA,44.9388586956522,184.5703125,36.3941461267606,59.4019396551724,90.6661184210526,72.7882922535211,NA,NA,NA,NA,NA,NA,44.9388586956522,178.205818965517,120.185319767442,71.77734375,60.0926598837209,40.374755859375,32.7086629746835,35.888671875,89.1029094827586,51.1680074257426,34.453125,NA,44.9388586956522,178.205818965517,120.185319767442,60.0926598837209,71.77734375,35.888671875,32.7086629746835,51.1680074257426,90.6661184210526,40.061773255814,NA,NA,44.9388586956522,178.205818965517,60.0926598837209,35.888671875,123.046875,90.6661184210526,71.77734375,32.9169984076433,51.6796875,40.061773255814,NA,NA,44.9388586956522,178.205818965517,60.0926598837209,90.6661184210526,35.888671875,120.185319767442,71.77734375,32.9169984076433,51.6796875,40.061773255814,NA,NA,44.9388586956522,178.205818965517,60.0926598837209,40.061773255814,51.1680074257426,120.185319767442,71.77734375,90.6661184210526,35.888671875,32.7086629746835,NA,NA,44.9388586956522,178.205818965517,51.1680074257426,60.0926598837209,40.061773255814,120.185319767442,71.77734375,36.1396416083916,90.6661184210526,32.7086629746835,NA,NA
"train-14",130,130.01,130,129.98,129.19921875,129.19921875,44.5514547413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.5703125,64.599609375,129.19921875,72.7882922535211,86.1328125,58.7269176136364,105.46875,32.5029481132075,39.7536057692308,52.2017045454545,43.4283088235294,37.179631294964,32.5029481132075,86.1328125,129.19921875,37.179631294964,51.6796875,30.5796967455621,43.4283088235294,172.265625,40.061773255814,74.898097826087,103.359375,34.6843540268456,32.5029481132075,37.179631294964,129.19921875,86.1328125,43.4283088235294,65.4173259493671,34.6843540268456,52.2017045454545,178.205818965517,30.5796967455621,74.898097826087,40.061773255814,129.19921875,178.205818965517,107.666015625,87.5926906779661,65.4173259493671,73.828125,58.0670646067416,52.2017045454545,43.4283088235294,46.9815340909091,37.179631294964,32.5029481132075,178.205818965517,132.512019230769,105.46875,89.1029094827586,37.179631294964,52.2017045454545,74.898097826087,39.7536057692308,64.599609375,34.9187077702703,57.421875,43.4283088235294,135.999177631579,64.599609375,36.9140625,32.5029481132075,52.2017045454545,86.1328125,43.06640625,NA,NA,NA,NA,NA,132.512019230769,36.9140625,64.599609375,32.5029481132075,34.9187077702703,178.205818965517,58.7269176136364,30.5796967455621,52.2017045454545,105.46875,40.061773255814,86.1328125
"train-15",62,92.98,123,92.73,184.5703125,61.5234375,30.9459206586826,93.9630681818182,178.205818965517,46.142578125,37.4490489130435,NA,NA,NA,NA,NA,NA,61.5234375,30.9459206586826,178.205818965517,92.28515625,37.4490489130435,45.7342367256637,112.34714673913,43.06640625,NA,NA,NA,NA,191.40625,93.9630681818182,30.9459206586826,61.5234375,36.9140625,47.4125573394495,NA,NA,NA,NA,NA,NA,191.40625,30.76171875,36.9140625,92.28515625,78.3025568181818,46.9815340909091,63.0240091463415,54.9783909574468,NA,NA,NA,NA,191.40625,30.9459206586826,93.9630681818182,37.179631294964,33.7775735294118,46.558277027027,62.2646837349398,NA,NA,NA,NA,NA,184.5703125,93.9630681818182,62.2646837349398,30.9459206586826,72.7882922535211,46.558277027027,37.179631294964,34.453125,NA,NA,NA,NA,184.5703125,93.9630681818182,30.9459206586826,61.5234375,36.9140625,46.142578125,NA,NA,NA,NA,NA,NA,184.5703125,93.9630681818182,61.5234375,30.9459206586826,46.142578125,37.179631294964,NA,NA,NA,NA,NA,NA
"train-16",90.5,90.92,90,91.07,46.142578125,45.3330592105263,46.9815340909091,62.2646837349398,58.7269176136364,51.1680074257426,56.7908653846154,95.703125,53.2780283505155,101.332720588235,71.77734375,82.03125,39.7536057692308,46.142578125,60.0926598837209,54.9783909574468,95.703125,37.179631294964,36.3941461267606,30.3998161764706,33.1280048076923,NA,NA,NA,NA,90.6661184210526,36.6522606382979,30.3998161764706,45.3330592105263,41.6771673387097,61.5234375,NA,NA,NA,NA,NA,NA,45.7342367256637,61.5234375,89.1029094827586,75.9995404411765,37.179631294964,NA,NA,NA,NA,NA,NA,NA,60.7996323529412,46.558277027027,53.2780283505155,90.6661184210526,37.9997702205882,NA,NA,NA,NA,NA,NA,NA,206.71875,92.28515625,60.7996323529412,46.142578125,30.2220394736842,36.9140625,NA,NA,NA,NA,NA,NA,191.40625,46.142578125,30.5796967455621,89.1029094827586,60.7996323529412,36.9140625,NA,NA,NA,NA,NA,NA,87.5926906779661,53.8330078125,105.46875,48.298773364486,47.4125573394495,74.898097826087,132.512019230769,43.796345338983,58.0670646067416,60.0926598837209,178.205818965517,31.3210227272727
"train-17",45.5,91.23,105,76.66,93.9630681818182,178.205818965517,161.4990234375,139.674831081081,120.185319767442,97.5088443396227,103.359375,84.7207991803279,79.5072115384615,71.77734375,63.0240091463415,59.4019396551724,54.3996710526316,42.016006097561,40.6926673228346,53.2780283505155,62.2646837349398,65.4173259493671,67.9995888157895,75.9995404411765,71.77734375,NA,NA,NA,NA,93.9630681818182,129.19921875,44.5514547413793,30.2220394736842,NA,NA,NA,NA,NA,NA,NA,NA,86.1328125,43.06640625,30.3998161764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7207991803279,114.84375,47.8515625,32.9169984076433,NA,NA,NA,NA,NA,NA,NA,NA,95.703125,120.185319767442,31.9010416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.77734375,107.666015625,32.7086629746835,37.4490489130435,NA,NA,NA,NA,NA,NA,NA,NA,135.999177631579,103.359375,68.90625,40.061773255814,46.142578125,33.9997944078947,NA,NA,NA,NA,NA,NA
"train-18",61,81.14,0,71.71,33.9997944078947,86.1328125,58.7269176136364,54.3996710526316,50.6663602941176,47.8515625,45.3330592105263,39.7536057692308,33.9997944078947,36.3941461267606,38.28125,31.5120045731707,30.9459206586826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.048018292683,117.453835227273,67.1164772727273,40.6926673228346,31.1323418674699,32.5029481132075,33.7775735294118,34.9187077702703,NA,NA,NA,NA,75.9995404411765,71.77734375,64.599609375,43.06640625,30.5796967455621,34.2249586092715,NA,NA,NA,NA,NA,NA,63.0240091463415,43.796345338983,30.2220394736842,35.15625,NA,NA,NA,NA,NA,NA,NA,NA,43.796345338983,33.3417338709677,30.3998161764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9997944078947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"train-19",188,188.35,125,93.81,93.9630681818182,93.9630681818182,191.40625,31.3210227272727,123.046875,63.8020833333333,37.4490489130435,42.016006097561,53.8330078125,46.9815340909091,74.898097826087,34.453125,NA,184.5703125,126.048018292683,74.898097826087,34.2249586092715,42.016006097561,93.9630681818182,53.8330078125,63.0240091463415,37.4490489130435,156.605113636364,139.674831081081,31.3210227272727,46.9815340909091,93.9630681818182,63.0240091463415,52.2017045454545,191.40625,37.9997702205882,54.3996710526316,41.015625,31.5120045731707,71.77734375,74.898097826087,78.3025568181818,93.9630681818182,46.9815340909091,41.6771673387097,44.5514547413793,43.796345338983,53.8330078125,31.1323418674699,33.9997944078947,191.40625,63.0240091463415,37.7223996350365,NA,93.9630681818182,191.40625,123.046875,41.34375,75.9995404411765,143.5546875,37.7223996350365,31.3210227272727,46.9815340909091,62.2646837349398,34.2249586092715,53.8330078125,191.40625,129.19921875,93.9630681818182,31.3210227272727,30.2220394736842,74.898097826087,34.453125,39.7536057692308,35.888671875,37.9997702205882,47.4125573394495,63.8020833333333,93.9630681818182,46.9815340909091,31.3210227272727,184.5703125,63.0240091463415,37.7223996350365,120.185319767442,NA,NA,NA,NA,NA,184.5703125,93.9630681818182,46.9815340909091,31.5120045731707,37.7223996350365,63.0240091463415,NA,NA,NA,NA,NA,NA
"train-20",220.5,110.03,110,110.24,224.694293478261,151.999080882353,112.34714673913,55.5695564516129,62.2646837349398,74.898097826087,69.8374155405405,44.5514547413793,50.6663602941176,41.34375,32.0991847826087,36.6522606382979,33.1280048076923,224.694293478261,166.708669354839,132.512019230769,112.34714673913,72.7882922535211,44.1706730769231,31.5120045731707,55.5695564516129,80.74951171875,59.4019396551724,67.1164772727273,46.558277027027,109.956781914894,31.5120045731707,215.33203125,36.6522606382979,43.796345338983,72.7882922535211,54.9783909574468,60.0926598837209,63.8020833333333,NA,NA,NA,224.694293478261,36.6522606382979,40.061773255814,33.9997944078947,49.21875,147.65625,31.3210227272727,109.956781914894,63.0240091463415,87.5926906779661,54.9783909574468,43.796345338983,224.694293478261,48.7544221698113,40.061773255814,36.6522606382979,147.65625,109.956781914894,63.0240091463415,33.9997944078947,87.5926906779661,31.5120045731707,43.796345338983,54.9783909574468,224.694293478261,36.6522606382979,147.65625,109.956781914894,31.5120045731707,44.1706730769231,40.061773255814,87.5926906779661,63.0240091463415,49.21875,33.7775735294118,54.9783909574468,109.956781914894,54.9783909574468,147.65625,36.6522606382979,215.33203125,89.1029094827586,63.0240091463415,49.21875,40.061773255814,33.9997944078947,73.828125,31.3210227272727,109.956781914894,224.694293478261,54.9783909574468,36.6522606382979,73.828125,147.65625,87.5926906779661,31.5120045731707,49.21875,40.061773255814,63.0240091463415,44.1706730769231
